CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2017-1000117,https://www.cvedetails.com/cve/CVE-2017-1000117/,6.8,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000116,https://www.cvedetails.com/cve/CVE-2017-1000116/,10.0,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000115,https://www.cvedetails.com/cve/CVE-2017-1000115/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000114,https://www.cvedetails.com/cve/CVE-2017-1000114/,4.3,Partial,None,None,Not required,None,Cross Site Scripting
CVE-2017-1000114,https://www.cvedetails.com/cve/CVE-2017-1000114/,4.3,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000112,https://www.cvedetails.com/cve/CVE-2017-1000112/,6.9,Complete,Complete,Complete,Not required,None,Memory corruption
CVE-2017-1000111,https://www.cvedetails.com/cve/CVE-2017-1000111/,7.2,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000110,https://www.cvedetails.com/cve/CVE-2017-1000110/,4.0,None,Partial,None,???,None,-
CVE-2017-1000109,https://www.cvedetails.com/cve/CVE-2017-1000109/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2017-1000108,https://www.cvedetails.com/cve/CVE-2017-1000108/,5.0,None,None,Partial,Not required,None,Obtain Information
CVE-2017-1000107,https://www.cvedetails.com/cve/CVE-2017-1000107/,6.5,Partial,Partial,Partial,???,None,Bypass a restriction or similar
CVE-2017-1000106,https://www.cvedetails.com/cve/CVE-2017-1000106/,5.5,Partial,Partial,None,???,None,-
CVE-2017-1000105,https://www.cvedetails.com/cve/CVE-2017-1000105/,5.0,Partial,None,None,Not required,None,-
CVE-2017-1000104,https://www.cvedetails.com/cve/CVE-2017-1000104/,4.0,Partial,None,None,???,None,-
CVE-2017-1000101,https://www.cvedetails.com/cve/CVE-2017-1000101/,4.3,Partial,None,None,Not required,None,Overflow
CVE-2017-1000100,https://www.cvedetails.com/cve/CVE-2017-1000100/,4.3,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000099,https://www.cvedetails.com/cve/CVE-2017-1000099/,4.3,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000098,https://www.cvedetails.com/cve/CVE-2017-1000098/,5.0,None,None,Partial,Not required,None,-
CVE-2017-1000097,https://www.cvedetails.com/cve/CVE-2017-1000097/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000096,https://www.cvedetails.com/cve/CVE-2017-1000096/,6.5,Partial,Partial,Partial,???,None,Execute Code
CVE-2017-1000095,https://www.cvedetails.com/cve/CVE-2017-1000095/,4.0,Partial,None,None,???,None,-
CVE-2017-1000094,https://www.cvedetails.com/cve/CVE-2017-1000094/,4.0,Partial,None,None,???,None,Obtain Information
CVE-2017-1000093,https://www.cvedetails.com/cve/CVE-2017-1000093/,6.8,Partial,Partial,Partial,Not required,None,CSRF
CVE-2017-1000091,https://www.cvedetails.com/cve/CVE-2017-1000091/,6.8,Partial,Partial,Partial,Not required,None,CSRF
CVE-2017-1000090,https://www.cvedetails.com/cve/CVE-2017-1000090/,6.8,Partial,Partial,Partial,Not required,None,CSRF
CVE-2017-1000089,https://www.cvedetails.com/cve/CVE-2017-1000089/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000087,https://www.cvedetails.com/cve/CVE-2017-1000087/,4.0,Partial,None,None,???,None,Obtain Information
CVE-2017-1000086,https://www.cvedetails.com/cve/CVE-2017-1000086/,6.0,Partial,Partial,Partial,???,None,CSRF
CVE-2017-1000085,https://www.cvedetails.com/cve/CVE-2017-1000085/,4.3,Partial,None,None,Not required,None,CSRF
CVE-2017-1000084,https://www.cvedetails.com/cve/CVE-2017-1000084/,4.0,None,Partial,None,???,None,-
CVE-2017-1000083,https://www.cvedetails.com/cve/CVE-2017-1000083/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
